"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Sector Name","Sector Code","Counterpart Sector Name","Counterpart Sector Code","Counterpart Country Name","Counterpart Country Code","Metadata Attribute","Metadata Value","Frequency"
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahamas, The","313","","","","","","","","","Country ISO 2 Code","BS",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahamas, The","313","","","","","","","","","Country ISO 3 Code","BHS",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahamas, The","313","","","","","","","","","Country Name","Bahamas, The",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahamas, The","313","","","","","","","","","Country SDMX Code","BS",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahamas, The","313","","","","","","","","","Country SDMX Name","Bahamas",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahamas, The","313","","","","","","","","","Country Short Name","The Bahamas",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahrain, Kingdom of","419","","","","","","","","","Country Code","419",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahrain, Kingdom of","419","","","","","","","","","Country Full Name","Bahrain, Kingdom of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahrain, Kingdom of","419","","","","","","","","","Country ISO 2 Code","BH",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahrain, Kingdom of","419","","","","","","","","","Country ISO 3 Code","BHR",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahrain, Kingdom of","419","","","","","","","","","Country Name","Bahrain, Kingdom of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahrain, Kingdom of","419","","","","","","","","","Country SDMX Code","BH",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahrain, Kingdom of","419","","","","","","","","","Country SDMX Name","Bahrain",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bahrain, Kingdom of","419","","","","","","","","","Country Short Name","Bahrain",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bangladesh","513","","","","","","","","","Country Code","513",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Bangladesh","513","","","","","","","","","Country Full Name","Bangladesh",""
